variety_code,variety_name,grape_type_code,grape_type_name,grape_category
0,Wtd. Avg. Base & Total Tons,7,Wine Grapes (White),wine
4011,Thompson Seedless,4,Raisin Grapes,raisin
4012,Fiesta,4,Raisin Grapes,raisin
5001,Other Table 3/,5,Table Grapes,table
5027,Flame Tokay 5/,5,Table Grapes,table
5041,Autumn King,5,Table Grapes,table
5058,Scarlet,5,Table Grapes,table
5064,Flame Seedless,5,Table Grapes,table
5067,Scarlet Royal,5,Table Grapes,table
5072,Luisco,5,Table Grapes,table
5085,Red Globe,5,Table Grapes,table
5089,Emerald Seedless,5,Table Grapes,table
5104,Crimson Seedless,5,Table Grapes,table
5115,Sugraone,5,Table Grapes,table
5122,Autumn Royal,5,Table Grapes,table
5126,Princess,5,Table Grapes,table
5136,Ivory,5,Table Grapes,table
5139,Cotton Candy,5,Table Grapes,table
5140,Great Green,5,Table Grapes,table
5172,Krissy,5,Table Grapes,table
5184,Sugra-52,5,Table Grapes,table
6001,Other Red Wine 3/,6,Wine Grapes (Red),wine
6002,Carmenere,6,Wine Grapes (Red),wine
6005,Aleatico,6,Wine Grapes (Red),wine
6006,Alicante Bouschet,6,Wine Grapes (Red),wine
6008,Touriga Nacional,6,Wine Grapes (Red),wine
6013,Barbera,6,Wine Grapes (Red),wine
6014,Dornfelder,6,Wine Grapes (Red),wine
6018,Sagrantino,6,Wine Grapes (Red),wine
6019,Arinarnoa,6,Wine Grapes (Red),wine
6020,Segalin,6,Wine Grapes (Red),wine
6021,Primitivo,6,Wine Grapes (Red),wine
6023,Cabernet Franc,6,Wine Grapes (Red),wine
6024,Cabernet Sauvignon,6,Wine Grapes (Red),wine
6026,Carignane,6,Wine Grapes (Red),wine
6028,Charbono,6,Wine Grapes (Red),wine
6034,Gamay Noir Au Jus Blanc,6,Wine Grapes (Red),wine
6035,St Laurent,6,Wine Grapes (Red),wine
6042,Prieto Picudo,6,Wine Grapes (Red),wine
6052,Valdiguie,6,Wine Grapes (Red),wine
6054,Cabernet Dorsa,6,Wine Grapes (Red),wine
6058,Grenache,6,Wine Grapes (Red),wine
6059,Grignolino,6,Wine Grapes (Red),wine
6076,Malbec,6,Wine Grapes (Red),wine
6081,Mourvedre,6,Wine Grapes (Red),wine
6084,Merlot,6,Wine Grapes (Red),wine
6085,Meunier,6,Wine Grapes (Red),wine
6086,Mission,6,Wine Grapes (Red),wine
6094,Muscat Hamburg,6,Wine Grapes (Red),wine
6095,Nebbiolo,6,Wine Grapes (Red),wine
6106,Petite Sirah,6,Wine Grapes (Red),wine
6107,Petit Verdot,6,Wine Grapes (Red),wine
6112,Pinot Noir,6,Wine Grapes (Red),wine
6118,Refosco,6,Wine Grapes (Red),wine
6121,Royalty,6,Wine Grapes (Red),wine
6122,Rubired,6,Wine Grapes (Red),wine
6123,Ruby Cabernet,6,Wine Grapes (Red),wine
6125,St Macaire 3/,6,Wine Grapes (Red),wine
6127,Sangiovese,6,Wine Grapes (Red),wine
6133,Souzao,6,Wine Grapes (Red),wine
6136,Tannat,6,Wine Grapes (Red),wine
6140,Tinta Madeira,6,Wine Grapes (Red),wine
6154,Zinfandel,6,Wine Grapes (Red),wine
6163,Syrah,6,Wine Grapes (Red),wine
6165,Tinta Cao,6,Wine Grapes (Red),wine
6171,Cinsaut,6,Wine Grapes (Red),wine
6173,Dolcetto,6,Wine Grapes (Red),wine
6175,Teroldego,6,Wine Grapes (Red),wine
6176,Tempranillo,6,Wine Grapes (Red),wine
6177,Aglianico,6,Wine Grapes (Red),wine
6178,Freisa,6,Wine Grapes (Red),wine
6182,Pinotage,6,Wine Grapes (Red),wine
6184,Negrette,6,Wine Grapes (Red),wine
6185,Counoise,6,Wine Grapes (Red),wine
6186,Trousseau,6,Wine Grapes (Red),wine
6187,Blaufraenkisch,6,Wine Grapes (Red),wine
6189,Montepulciano,6,Wine Grapes (Red),wine
6192,Negroamaro,6,Wine Grapes (Red),wine
6194,Durif,6,Wine Grapes (Red),wine
6196,Graciano,6,Wine Grapes (Red),wine
6197,Lagrein,6,Wine Grapes (Red),wine
6199,Nero D'avola,6,Wine Grapes (Red),wine
6200,Mencia 3/,6,Wine Grapes (Red),wine
6201,Marselan 4/,6,Wine Grapes (Red),wine
7001,Other White Wine 3/,7,Wine Grapes (White),wine
7002,Burger,7,Wine Grapes (White),wine
7004,Chardonnay,7,Wine Grapes (White),wine
7006,Chenin Blanc,7,Wine Grapes (White),wine
7008,Flora,7,Wine Grapes (White),wine
7010,French Colombard,7,Wine Grapes (White),wine
7011,Gewurztraminer,7,Wine Grapes (White),wine
7012,Gray Riesling,7,Wine Grapes (White),wine
7019,Malvasia Bianca,7,Wine Grapes (White),wine
7020,Melon,7,Wine Grapes (White),wine
7021,Moscato Gaillo,7,Wine Grapes (White),wine
7022,Muscat Blanc,7,Wine Grapes (White),wine
7023,Muscat Orange,7,Wine Grapes (White),wine
7026,Palomino,7,Wine Grapes (White),wine
7029,Pinot Blanc,7,Wine Grapes (White),wine
7032,St. Emilion,7,Wine Grapes (White),wine
7033,Sauvignon Blanc,7,Wine Grapes (White),wine
7035,Sauvignon Vert,7,Wine Grapes (White),wine
7036,Semillon,7,Wine Grapes (White),wine
7037,Sylvaner,7,Wine Grapes (White),wine
